,UID,RequestMode,WallTime,id,type,status,text,is_improved,dispatch_coord,WPT_1_type,WPT_1_name,WPT_2_type,WPT_2_name,RejoinType,RejoinWaypoint,EndpointLat,EndpointLon,SavingType,SavingsValue,SavingsUnits,FlightLevel
27,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582533.591248,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.3832,sec,NA
28,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582544.220546,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.622,sec,320
29,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582544.220546,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.9931,sec,NA
30,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582544.220546,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.61,sec,320
31,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582544.241075,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-4.9931,sec,NA
32,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582550.19245,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.457,sec,320
33,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582550.19245,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.1547,sec,NA
34,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582550.19245,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.604,sec,320
35,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582560.705609,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.262,sec,320
36,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582560.705609,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2629,sec,NA
37,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582560.705609,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.515,sec,320
38,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582560.730475,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-5.2629,sec,NA
39,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582572.80237,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,14.477,sec,320
40,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582572.80237,16,LATERAL,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.9843,sec,NA
41,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582572.80237,17,VERTICAL,FILTERED,FL320,false,false,UNDEFINED,,UNDEFINED,,UNDEFINED,,0.00000000,0.0000000000,Time,18.433,sec,320
42,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582572.828729,16,SELECTED,SOLUTION,YKM,true,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,-2.9843,sec,NA
43,R_Walters-2cf0-EFB_BB45_20210312_085351,AUTO,1615582583.137537,15,COMBO,FILTERED,FL320 / YKM,false,false,UNDEFINED,,UNDEFINED,,REJOIN,YKM,0.00000000,0.0000000000,Time,12.379,sec,320
